atmos_temp,flow_rate,pwm,voltage,current,battery_temp
29.60,0.00,0,11.81,1.73,29.80
29.50,0.00,0,11.79,1.89,29.80
29.60,0.00,0,11.79,1.93,29.80
29.60,0.00,0,11.81,1.89,29.90
29.70,0.00,0,11.70,1.89,29.80
29.70,0.00,0,11.83,1.91,29.80
29.70,0.00,0,11.79,1.88,29.80
29.70,0.00,0,11.82,1.90,29.90
29.70,0.00,0,11.83,1.87,29.90
29.70,0.00,0,11.80,1.89,30.00
29.80,0.00,0,11.85,1.93,29.90
29.70,0.00,0,11.76,1.91,30.00
29.70,0.00,0,11.80,1.92,30.00
29.70,0.00,0,11.82,1.88,30.00
29.70,0.00,0,11.87,1.88,30.10
29.70,0.00,0,11.82,1.90,30.10
29.80,0.00,0,11.76,1.87,30.10
29.80,0.00,0,11.61,1.91,30.20
29.70,0.00,0,11.79,1.91,30.20
29.80,0.00,0,11.81,1.91,30.30
29.80,0.00,0,11.79,1.89,30.20
29.80,0.00,0,11.84,1.89,30.20
29.80,0.00,0,11.79,1.92,30.30
29.80,0.00,0,11.81,2.00,30.30
29.70,0.00,0,11.79,1.87,30.30
29.80,0.00,0,11.83,1.92,30.30
29.70,0.00,0,11.84,1.87,30.40
29.70,0.00,0,11.77,1.94,30.40
29.80,0.00,0,11.83,1.96,30.50
29.70,0.00,0,11.84,1.91,30.50
29.80,0.00,0,11.82,1.87,30.70
29.80,0.00,0,11.80,1.90,30.80
29.70,0.00,0,11.83,1.90,30.90
29.80,0.00,0,11.79,1.89,31.00
29.80,0.00,17,11.86,1.90,31.20
29.80,0.00,42,11.79,1.92,31.50
29.80,0.00,59,11.79,1.94,31.70
29.80,0.27,85,11.80,1.93,32.00
29.80,1.20,110,11.83,1.87,32.30
29.70,2.00,127,11.80,1.90,32.50
29.80,2.40,144,11.83,1.93,32.70
29.80,2.67,161,11.84,1.94,32.90
29.80,3.07,170,11.82,1.87,33.00
29.80,3.07,178,11.87,1.94,33.10
29.70,3.20,195,11.81,1.89,33.30
29.70,3.20,204,11.81,1.90,33.40
29.80,3.47,212,11.80,1.94,33.50
29.80,3.47,212,11.80,1.90,33.50
29.80,3.33,220,11.79,1.94,33.60
29.80,3.60,229,11.81,1.91,33.70
29.80,3.73,237,11.84,1.84,33.80
29.80,3.60,255,11.84,1.88,34.00
29.80,4.00,255,11.80,1.92,34.10
29.80,3.87,255,11.84,1.87,34.20
29.80,4.00,255,11.82,1.88,34.30
29.80,4.00,255,11.84,1.95,34.30
29.90,3.87,255,11.79,1.93,34.40
29.80,4.00,255,11.80,1.94,34.40
29.80,3.87,255,11.80,1.90,34.40
29.70,3.87,255,11.83,1.99,34.60
29.80,4.00,255,11.84,1.94,34.60
29.90,3.87,255,11.69,1.95,34.70
29.80,4.00,255,11.81,1.90,34.70
29.80,3.87,255,11.82,1.90,34.80
29.80,3.87,255,11.84,1.92,34.80
29.80,4.00,255,11.80,1.90,34.80
29.80,3.87,255,11.81,1.94,34.70
29.90,3.87,255,11.80,1.87,34.70
29.80,4.00,255,11.77,1.84,34.70
29.80,3.87,255,11.81,1.87,34.60
29.80,3.87,255,11.83,1.92,34.60
29.90,3.87,255,11.82,1.90,34.50
29.80,4.00,255,11.82,1.90,34.40
29.80,3.87,255,11.80,1.91,34.40
29.90,3.87,255,11.84,1.92,34.30
29.80,3.87,255,11.84,1.95,34.40
29.90,4.00,255,11.80,1.88,34.30
29.80,3.87,255,11.81,1.92,34.20
29.80,4.00,255,11.81,1.94,34.20
29.80,3.87,255,11.83,1.95,34.00
29.80,3.87,255,11.82,1.88,34.00
29.80,3.87,255,11.78,1.88,34.00
29.80,4.00,237,11.79,1.96,33.80
29.90,3.73,237,11.83,1.90,33.80
29.80,3.60,212,11.85,2.05,33.50
29.80,3.47,195,11.87,1.90,33.30
29.80,3.20,170,11.83,1.93,33.00
29.80,3.07,152,11.84,1.87,32.80
29.80,2.80,144,11.83,1.90,32.70
29.90,2.67,135,11.80,1.90,32.60
29.80,2.53,127,11.82,1.89,32.50
29.80,2.53,119,11.79,1.94,32.40
29.80,2.27,119,11.79,1.89,32.40
29.80,2.27,119,11.79,1.87,32.40
29.80,2.27,110,11.84,1.89,32.30
29.80,2.27,110,11.84,1.88,32.30
29.80,2.00,110,11.77,1.99,32.30
29.80,2.13,102,11.82,1.91,32.20
29.80,2.00,93,11.82,1.91,32.10
29.80,1.87,102,11.79,1.87,32.20
29.80,2.00,102,11.84,1.92,32.20
29.80,2.00,110,11.84,1.94,32.30
